topPostAverStayTime totalPostCount
3116.57 57085
1906.21 16714
8103.4 7058
5660.54 1508
205.26 178637
6164.72 5797
198.87 391383
177.48 65946
105.83 280948
373.83 116048
1094.22 185821
1287.88 3864
5.71 2040298
67.16 1018013
4725.77 1115
165.29 683615
1015.78 286724
3125.28 11274
692.46 591563
47.72 406970
5995.48 11690
44.12 802257
44.73 915237
332.01 288497
59.57 1080682
1394.76 104907
49.07 1134800
153.38 978064
24.99 451060
268.57 319928
127.45 133477
192.03 274421
453.81 245704
1178.03 49345
115.87 262361
1261.22 244735
32.22 543589
188.3 467180
75.78 398724
419.04 134755
39.34 391307
1616.48 89299
3842.77 21564
4915.41 1692
1570.05 38260
2803.5 52572
554.03 220596
1923.22 82744
15.4 1218090
226.85 82705
105.09 69408
36.58 1444677
3838.14 3047
2.36 8407677
671.61 203861
54.05 341428
134.61 269940
1045.89 76348
1833.72 14932
47.66 427953
684.6 37863
3771 2381
61.33 892442
24.09 979774
204.04 226017
43.66 1321222
291.72 162113
1206.6 105256
888.6 109215
2093.96 135921
941.1 96390
1030.17 132065
90.26 712941
359.81 96358
1470.45 57449
3084.5 39345
4897.91 10116
4749.18 9196
263.7 266416
286.75 122043
339.03 102510
725.77 97000
6174.72 11883
2839.98 15970
655.8 83567
43.99 1716577
13.5 893472
1107.54 224992
816.32 110032
2421.75 55404
7150.34 2536
1426.61 401649
4451.93 32522
2663.99 7029
1305.25 92576
7394.32 5244
4148.16 340
3683.66 17657
1262.83 92156
1105.85 71255
3828.07 15003
124.2 378027
37.71 2052149
1477.66 9771
1204.81 128767
58.17 938321
234.13 75900
54.05 341428
5112.04 8335
2674.53 7354
506.88 77932
4357.09 2275
29.52 1614758
17302.26 29
54.16 683764
24.79 1521190
236.17 245575
77.79 448861
960.93 64776
396.19 124053
777.86 90670
5510.02 1720
2132.18 27201
377.86 76232
1079.34 29589
17.12 1417889
1570.52 31128
177.07 418221
8217.07 4589
473.04 179414
935.38 162059
158.96 341764
62.78 479910
2818.52 15836
4114.83 19415
2990.72 22937
727.99 191653
281.33 160124
82.63 1025040
34.89 489173
415.12 77456
34.1 2668826
218.22 245738
68.43 509555
879.77 44556
14.58 1873453
11.86 3290466
3347.33 15637
37.26 1140862
125.02 388567
234.92 406538
4472.65 61
68.43 461306
158.05 549328
24.73 1240998
151.57 629922
8878.17 1481
2475.68 25087
4293.23 22358
562.97 113629
28.61 911278
556.13 80805
3285.63 5184
4096.73 11513
3853.6 40912
2398.27 12365
2398.27 12365
4538.65 26568
4396.91 9805
18689.34 12
431.64 211209
37.18 2105724
114.51 277714
1096.26 90218
7709.14 2100
252.53 163410
2466.92 39704
1352.02 96224
3954.32 36383
47.67 1244008
845.22 116385
7053.36 3279
2152.67 59604
204.66 216416
1192.57 143926
866.6 109475
1602.03 28490
4768.69 28834
3185.53 46760
167.45 246266
3336.32 59988
65.69 727452
497.86 212349
62.75 306979
357.47 140238
530.73 170807
151.21 210575
1751.34 72405
2559.56 50883
334.45 103578
3876.06 37937
13.48 1843016
3332.96 17395
1550.58 32832
422.8 83208
505.5 110542
307.94 242576
164.14 561652
3347.17 9937
208.35 51426
201.16 34164
19.55 1027281
131.82 296602
423.15 107826
490.54 167502
167.89 230959
421.63 38355
5.26 9106266
413.65 269433
12.72 8251421
764.66 20421
127.74 614481
1077.14 110520
2164.69 64081
149.71 290781
936.57 139094
432.65 105815
1649.38 66463
2262.7 76381
376.46 100861
4052.41 16540
29.7 502525
1142.05 48802
333.44 341882
281.47 96281
377.73 212362
4553.05 20820
136.99 337904
1380.56 70913
4890.22 20236
445.5 38343
1817.09 22360
2066.56 34079
4267.35 2947
99.71 275124
15.48 6485967
43.22 756141
308.51 264144
5444.93 17572
99.2 509508
395.15 116544
2235.66 11360
99.2 509508
634.27 74408
150.11 59232
15.93 112018
370.97 45187
128.54 146639
2160.96 620
1252.17 87132
37.83 960242
2020.13 9050
1250.48 5288
462.29 69642
2520.17 1411
223.68 108518
40.34 323404
2308.56 9485
1802.2 26
2072.8 9555
3289.9 5791
7544.6 10806
994.39 20733
212.33 93229
1378.1 41994
963.16 29564
71.88 628380
2423.65 14475
274.45 232832
3718.88 3983
1422.84 10588
625.31 89567
667.49 252
122.27 129781
68.75 145641
36.68 433396
6178.61 8830
4586.33 4000
1949.67 9033
2325.92 20096
863.85 22026
1807.09 20131
8737.5 34333
98.6 319648
6178.61 8830
29.32 387265
253.03 59733
40.6 722852
806.49 40318
569.89 15483
379.29 29565
1057.47 61157
255.75 40397
474.06 40865
1113.89 26980
259.9 54424
682.52 28433
2017.48 31166
2826.62 4995
8299.76 4044
5334.86 8657
950.3 8332
2130.59 7599
5778.65 4342
3056.23 8565
3804.71 17372
1257 9456
10140.22 3186
3239.67 1332
3951.14 2951
7778.19 7001
3671.95 756
4240.44 707
3154.42 3063
4664.37 4562
2587.39 6300
3463.03 3354
7538.53 1223
5425.04 3574
454.19 791
4823.42 1630
5227.25 1617
4576.11 456
1407.05 342
5435.71 2990
5198.28 847
11049.06 823
2564.21 735
3876.05 535
3573.3 966
8575.62 512
3504.98 1726
2184.37 1840
6821.85 639
11018.6 989
6373.43 1034
243.25 113736
360.2 26942
171.25 193140
3268.85 9601
21.77 1436175
26.78 1289150
68.14 146923
324.4 138334
11.48 6428356
58.48 1154673
2152.66 2406
368.19 22280
1369.41 30245
77.63 83238
1721.48 4330
127.42 36632
1303.11 4613
275.33 10954
3835.9 20745
3630.42 14596
2517.35 1336
3320.02 8513
1410.59 1546
2730.88 12813
2053.17 6412
4846.7 12949
1472.54 37015
4256.88 2234
2179.93 8725
4320.3 16854
741.59 1584
2696.22 1155
1591.47 3258
4419.96 6923
6094.04 5791
4099.23 7003
7.22 4378
4658.08 3579
1432.17 1874
3268.85 9601
4067.45 6215
6820.69 3683
5360.48 2819
3792.84 1319
6841.18 1192
3999.02 2137
1074.8 4118
5385.34 616
2774.04 420
3704.58 288
5612.83 1137
14393.17 706
4272.06 623
2576.92 813
3787.91 1229
6668.66 525
9989.1 804
13.98 808290
34.23 916127
3522.5 9654
342.14 75515
1113.35 61129
2.31 33699651
21.74 2079559
165.73 210910
3.42 105389249
31.12 362788
1229.09 5610
488.69 89260
22504.44 21690
32747.14 2247
989.22 18596
126.4 141711
18549.74 74
8358.56 13332
4122.32 1474
631.91 152140
1023.58 61437
1510.35 26224
1057.74 42632
21217.49 471
35715.24 139
577.15 104246
825.57 2093
678.34 14487
4921.16 2442
1194.32 68680
890.09 250416
2700.4 24544
35.94 735215
25918.67 336
2050.75 21
2006.41 168405
10369.9 1795
21510.43 9
9421.15 20
2264.92 64996
150.91 299811
117.39 800656
7110.48 18332
47.05 124414
1392.04 33752
8752.18 1271
28744.11 3820
1238.36 5305
289.82 63110
236.58 134062
10023.62 4470
797.72 176371
9745.48 4467
71.66 734091
22152.68 2565
1560.44 79614
14861.36 54
1440.32 63662
1966.12 1415
3378.58 40624
167.55 270695
5586.61 174
6615.28 854
4712.49 12625
5435.75 17831
15907.56 10
12014.32 3377
3358.38 6256
5585.52 9533
9336.3 247
558.7 117283
6757.63 34599
20.3 623738
470.59 210957
11.47 6009609
17929.38 12378
3324.62 32061
4278.4 2915
2886.82 16851
10585.07 310
22.88 513
14157.63 236
6262.11 25372
21034.09 742
3730.18 7221
8879.62 13211
1531.13 4217
3348.34 56586
18358.02 3578
22905.91 442
4229.04 2531
31810.2 1058
11320.61 1893
195.89 28393
4342.43 3962
7099.78 40433
683.17 4904
7708.17 2176
13892.6 1803
758.97 19689
325.81 34635
1237.02 58331
8275.87 164
4.25 18082363
3476.48 200
791.96 119243
4046.93 5178
9276.41 2489
422.17 310385
8469.21 161
7515.45 564
24 743169
24543.29 8273
9.91 487641
18591.89 7414
4157.75 42508
20392.49 3981
17012.22 7596
12558.41 54649
1070.03 49424
718.68 125382
3499.43 8833
4232.49 38323
17.47 2898246
3494.83 23807
112.77 47945
1728.72 53111
32.8 477210
901.2 67317
22511.69 676
504.61 48547
11445.63 585
109.22 224447
496.18 65658
18.19 1280366
21.38 2461344
132.26 236405
36 1160983
1049.91 76177
50.71 184940
2.65 1917634
27.03 1400466
830.25 10051
7632.13 3336
17526.26 1000
11646.94 7750
592.23 162614
163.57 192165
71.16 150998
131.46 166825
323.83 123311
26.92 290466
951.11 7184
80.38 306552
42.23 156687
330.92 77547
15.69 1713257
197.82 68953
20.29 3667089
257.54 17883
17.71 424733
19522.33 3198
54.59 174047
687.67 79125
62.64 649609
1408.29 38749
8.95 1394742
3264.28 2543
1003.24 127661
4465.84 27021
10151.52 6024
10356.48 5980
113.95 197043
9398.26 9225
1813.48 4375
2069.24 112927
91.97 114845
23.14 319995
151.37 261148
14048.38 3677
6892.23 16670
1399.86 38555
11403.73 710
12027.67 386
479.77 101458
7290.44 2899
3995.7 23176
656.04 92695
231.17 126620
3882.73 7644
7837.95 304
1032.89 54825
11032.56 1476
9675.29 5275
2396.79 17480
2393.13 11712
646.51 58857
10109.34 2127
819.13 21416
2823.43 2277
52.97 344129
45.16 104253
1679.38 4516
2049.74 19959
506.95 95848
288.92 282448
1800.42 34790
1218.49 640
29.66 68262
738.5 29149
20.72 138322
4205.35 1559
221.83 17665
1387.28 1038
1579.14 12384
2561.99 4048
4071.69 23566
46.01 163763
606.9 56915
475.42 23860
1618.58 1065
197.22 29255
1930.24 20701
634.66 81753
1752.77 34997
74.49 427324
896.61 9041
27.56 2406437
77.12 26901
291.14 28943
4056.11 9
26.78 1131775
406.42 5450
882.53 9074
8.83 1046973
539.05 27973
1253.14 2493
45.62 498936
6508.45 2328
20.61 661670
792.95 24954
590.65 287
995.14 1498
589.53 10423
17.55 27896
473.74 7062
1219.79 68940
25.95 1071784
906.34 7592
695.68 5690
160.96 103700
1102.92 832
1226.68 3338
114.86 283797
5.07 6448539
414.21 12836
16.43 1089995
15.29 548468
55.96 47749
253.46 30230
16.76 44985
44.6 65826
2436.7 3160
1169.82 8610
668.02 26688
37.9 1141701
956.62 10888
2107.03 4185
687.5 11838
1098.3 788
1206.16 4842
2192.79 6642
326.52 18326
55.03 1335251
832.8 9699
629.78 9873
2521.27 5180
472.63 22207
79.36 1794036
697.62 10327
18.93 21064
1069.48 1741
592.52 12006
318.85 26111
645.95 73041
1008.97 2867
1637.26 5071
388.28 26193
1384.41 5872
611.36 16463
38.46 351084
18.32 719121
532.59 12056
45.32 165333
658.48 3186
415.51 14514
918.73 52889
129.12 25926
1222.76 22819
1524.42 6403
243.39 17279
1423.65 9667
1467.48 8451
453.96 4815
2130.88 16270
352.15 8205
1151.43 3935
981.13 3639
1295.4 3518
686.07 4737
1056 30641
95.62 99224
355.85 7835
1784.58 3170
30.4 2416875
11.09 2697554
6.62 507915
9.03 1869925
320.81 120142
28.89 369937
12.19 937061
5.38 1372981
60.63 899872
5.37 874567
16.75 403756
80.6 44409
7.39 558108
9.04 2512019
9.02 1393597
14.46 878921
296.19 59168
1.75 15267500
1.88 6914513
3.67 927992
5.04 476736
12.42 328375
4.58 357670
36.62 146253
153.23 163148
3.47 28168789
7.18 15198438
4.69 17619125
14.15 117215
5.47 12977312
10.07 5169440
7.52 5552192
9.4 4130166
2.7 18462791
9.83 3142898
6.73 6392094
7.92 732755
16.65 1080685
5.96 15837966
8.55 1017441
261.22 189806
11.09 210194
16.31 6798
9.22 491246
46.18 336721
9.89 1987504
20.24 133229
1740.56 31958
5.84 6586693
6.12 8986261
6714.09 9226
7537.03 7238
1873.51 7617
6.45 2230351
189.62 69397
21.92 1989929
15.12 1224346
20.72 1406971
8.3 5479283
12.5 749981
10.39 8646829
915.74 56950
17.48 1032711
12.32 5936412
6.48 586156
4.27 1167914
5.23 3012543
6.47 7067338
21.82 391620
46.09 161772
14.05 643629
10745.95 8965
10.38 2930579
165.93 126061
122.46 330788
9.89 2097409
3.06 16363737
2.32 5804399
38.97 160048
5.18 617168
2.03 19052693
5630.61 7245
10.88 3542589
70.12 237574
6.44 7894767
19.07 1465939
12.56 1323639
20.21 471486
9.57 786278
5141.41 2403
92.92 113137
2265.7 17714
32.68 180162
215.22 25115
7.48 3716473
22.77 599304
348.11 36942
528.91 11335
973.09 1149
356.67 80477
2682.73 1224
1635.45 994
15.76 186194
13.22 722908
9.83 1655331
12.52 4847441
11.91 954151
19.26 882585
1057.94 7908
187.53 22781
4586.22 5135
30.55 564018
28.27 276153
22.47 951014
6.07 1059486
816.34 7249
2366.45 952
15.45 820274
24.2 805282
8.72 640370
32.75 808841
28.56 447451
11.43 137020
552.84 35054
13.34 470878
483.84 1703
107.57 36597
3561.64 15017
16.22 733320
713.01 22257
15.26 1897479
4.42 3394986
3440.57 4194
13.64 4177729
497.63 14637
14.1 726746
655.73 92656
649.61 7589
46.89 254880
32.87 4644439
9.05 1911790
360.54 32469
178.43 57281
5.83 1029463
38.64 558432
13.94 849574
8.21 351415
8.35 649004
5.59 3071742
610.13 53420
13.27 242356
8.41 3121354
8.18 677825
4.4 2018016
1364.78 8193
305.23 31183
18.66 166838
9.55 7677486
376.22 40566
408.14 130729
2087.26 1153
2.12 12867055
19.88 1279868
6.84 1374276
17.81 2193478
10.35 363371
5.37 2586331
3.15 13417226
22.77 390611
134.26 227025
381.71 62133
6.61 616185
6.65 1287724
22.72 688898
7.75 833352
3.01 6341929
14.86 1892647
720.96 54394
365.81 701255
547.56 523521
952.29 82101
279.95 82908
1025.76 43205
1685.6 37942
1143.43 41467
760.86 41404
937.12 18899
482.43 18827
806.58 22815
2596.87 14489
1742.24 13840
3615.91 13417
4185.37 257
2186.33 120
4744.2 13669
9364.2 52
444.07 59
1249.95 74
7464.06 36
14273.51 42
13171 1069
282.59 28194
5092.36 34
6515.29 916
10088.66 117
914.73 2911
3983.6 1177
4109.97 35963
3496.81 587
3376.97 35
3071.24 2451
5219.63 153
647.35 343
3676.9 284
1000.51 628
1763.57 164
6266.13 144
2292.2 384
15705.92 85
7744.72 135
2682.32 49
26.47 108694
688.14 4085
475.12 1031
42.02 88656
7320.77 191
5998.43 52
830.58 7218
543.59 8061
276.46 5663
2549.8 1752
3879.82 408
2863.71 1166
5897.96 15
4545.28 1073
848.43 1351
1066.42 333
5513.56 6391
922.63 33127
2759.41 633
4998.52 782
2875.15 1441
90.89 51495
1113.19 11182
1109.07 2140
2220.5 977
27.09 54283
4408.75 269
1712.78 28359
849.56 45621
981.05 21262
530.95 8470
3664.05 6027
2894.97 3137
1535.37 319
1769.37 189666
789.7 2970
18.6 337031
1120.81 990
247 7131
2145.28 433482
7391.61 117
417.9 33477
4210.11 5473
2206.66 1044
361.52 419077
351.33 18247
8121.33 247
1883.34 162355
2391.75 198
879.45 400
13138.75 73
8498.1 107
15.97 969567
1811.15 464
1134.67 894
1586.47 463272
498.75 13930
1682.82 136223
14053.89 10
1656.47 6679
2350.96 508
2234.95 668
13.31 50817
410.45 6271
982.07 8668
5808.32 70
5173.23 16276
846.36 7312
8001.45 41877
3540.61 40
6428.62 307
3185.22 7644
15177.96 20
9127.14 5034
1541.07 4408
2054.37 5438
2304.57 3192
15120.13 20
1485.95 3304
82.5 27769
11464.24 198
4320.11 4279
2821.3 2723
10112.96 3109
1813.48 11768
2344.82 2858
5174.72 1265
2571.95 2914
11075.42 2663
28.85 288366
1259.31 4147
650.67 2731
637.4 2763
5350 3698
11408.13 1606
1894.68 4065
19.76 389901
477.84 74176
44.68 9749
1078.45 10972
899.89 30950
11718.29 42
766.28 1054
2209.9 1056
17153.39 15
1058.12 7726
757.76 4287
4165.46 2999
1266.38 2751
3633.88 511
1839.48 14098
1254.35 45544
868.81 6837
482.32 58863
955.79 29765
4784.23 1319
1324.38 17680
2635.48 20856
1906.78 4141
2494.88 16811
4692.28 8435
820.94 8015
2541.28 565
1933.9 9220
1887.53 36468
4355.73 1489
10590.78 14
1423.5 14309
1059.85 61027
2829.38 152
7840.25 1117
4922.2 2075
2294.92 16669
5843.16 1322
6234.63 15748
7916.26 37
1419.22 23143
452.56 5474
667.66 60264
1207.89 13585
2686.31 9933
1382.64 2306
1415.82 25530
2414.4 12952
3824.59 41
