topPostAverStayTime totalPostCount
8841.85 1371
3133.29 2002
5227.11 3267
70.31 88783
5345.22 973
7446.73 3045
3356.87 2732
7562.94 3573
1601.86 1305
3171.27 759
8794.25 3618
2552.12 852
1059.83 668
4588.67 457
8390.19 708
4954.63 568
3719.56 790
955.59 569
3056.73 25
1818.26 229
1428.27 580
3193.7 569
2075.37 418
15148.03 317
2417.15 50
9197.58 110
11933.24 19
8494.83 26
9418.01 13
336.08 61484
920.89 66064
403.66 22610
493.54 5385
2487.79 6222
2686.5 7693
1058.85 2871
1613.86 17846
105.87 1368
931.29 1503
421.75 1152
3093.68 1082
5108.26 1221
1931.83 616
2610.89 41
1424.61 607
1398.98 486
4018.79 55
160.32 338408
236.8 100689
176.77 106355
537.05 39938
83.93 23745
60.21 1120
489.59 106136
756.41 23047
636.77 9686
544.13 4931
275.82 12621
702.46 15053
934.76 11135
1848.05 10831
1307.36 38631
1218.61 13472
5442.46 7341
4826.97 3229
1374.69 5938
2226.31 1238
2320.55 10149
1402.32 489
652.35 1671
195.43 625
4792.32 9087
1292.54 7045
2800.91 6414
4294.54 5627
2402.18 2936
5078.06 3814
2260.07 2513
2877.45 588
2286.46 4383
10663.99 1318
3649.26 1382
3704.64 663
3466.97 921
3319.43 545
2520.3 811
2234.79 266421
5756.52 861
2501.68 560
3608.9 841
1663.53 206
2876.93 369
857.62 340
5885.62 174
9053.34 168
2777.14 3321
7083.56 54
16144.47 31
4296.62 6459
5035.82 323
18990.48 38
3181.84 21
44.03 312676
283.95 44156
1201.47 8775
2108.34 880
2426.36 1127
2560.51 1044
5748.53 3866
701.91 640
3771.98 50
3197.88 23754
4991.69 4817
1361.11 2341
6329.42 4848
2744.23 1198
5277.68 21
28.59 359342
87.98 97924
132.03 109310
447.44 32388
1446.24 32054
1616.23 20827
655.3 12426
511.32 8373
564.65 5282
483.5 12688
1984.19 16788
544 3693
3741.59 4794
599.6 4934
8536.26 5940
8142.54 4403
830.21 2415
12517.54 1372
11303.52 1458
735.21 1410
1837.89 2397
583.24 1397
3935.2 1566
657.94 1022
4050.33 38
6450.04 32
12.39 594763
88.17 23931
106.09 13501
299.55 92406
485 14853
182.52 128745
438.74 169184
509.21 21372
1473.82 12209
5442.49 7642
2039.53 8074
469.68 9083
751.15 8819
2173.92 6931
2808.17 6309
6763.24 3482
2753.34 6512
5195.97 1678
3676.04 1537
6358.45 8627
1686.38 1645
3676.18 2159
85.77 221750
4024.69 5809
4252.03 420
1283.2 423
4276.32 916
6464.67 2695
5107.92 1294
9268.91 1639
4121.93 1191
11677.22 230
2362.59 1938
1614.78 7830
2646.78 792
2748.58 497
2363.02 525
2722.15 38447
3596.33 2373
3193.37 341
3901.09 326
3250.6 652
5923.38 217
2247.68 473
2011.18 732
1385.14 116
4224.14 72
16144.8 71
3752.55 384
4245.8 38
2630.08 16
1867.8 224
3361.59 169
2108.8 268
3586.01 122
2866.09 121
3264.78 8067
4079.36 9522
3247.37 56
6290.44 129
14973.11 26
4198.21 18858
5230.99 24
1888.74 25
8081.22 12379
12197.17 19
12427.52 312
4940.61 10354
13861.17 117
27802.16 502
26669.52 578
12.59 855565
30.3 337247
136.9 156067
57.84 102400
54.25 248772
179.06 69985
371.33 31088
365.53 15743
365.31 63382
281.34 12712
983.71 16651
585.22 10584
432.57 21170
556.96 5968
352.1 17671
3121.02 3710
2686.76 9456
5164.21 2731
2929.16 1919
2370.75 5798
4847.91 5811
4487.66 3880
5151.97 6916
5841.83 1951
4047.29 13269
4549.9 2481
9102.4 1595
6895.12 2962
2576.43 1626
5065.87 2078
3294.78 1089
3030.43 1196
1398.69 1717
3705.1 471
2693.06 698
1456.4 429
7171.04 2489
7187.42 813
4365.43 644
8444.18 537
2822.17 1237
3517.39 736
2362.86 322
1650.39 742
3160.16 363
6117.15 1220
3411.82 1007
942.04 159
1.38 51909600
1.96 144149995
1.9 334509785
12.03 1171019
9.51 2684311
2.62 37470983
6.63 4019571
10.53 1431015
32.05 605524
13.69 1762491
5.12 19676007
12.26 1308217
17.89 1194239
34.44 100600
25.13 413416
15.75 1447697
70.44 137740
58.55 110574
512.79 60804
1131.97 47553
273.99 23239
217.52 12391
460.65 8911
2111.04 6023
589.17 38183
3669.5 1817
34.44 1747970
1844.37 45
6621.34 42
3.52 23438704
16.37 2519082
785.31 2018
25.54 4056775
11.12 5220496
2.43 67723390
3129.66 258
3201.95 638
7076.56 277
2395.59 792
1524.96 430
4986.42 481
2193.7 629
5708.88 823
2681.43 477
2872.31 234
2957.97 241
9334.98 46
3220.53 122
2260.26 171
3877.94 83
1646.87 246
4650.74 171
1310.76 104
7835.58 58
2767.08 123
8362.7 117
3947.34 491
15378.52 50
4873.11 83
1190.14 36619
827.08 7539
1244.19 27041
1981.87 18950
