tag,x,y
"강남반영구눈썹",298.11,4.37
"강남역데이트",74.99,1.04
"강남미용실추천",134.51,3.52
"클럽강남메이드",666.57,0.29
"강남눈썹반영구",338.54,1.96
"강남메이드게스트신청",682.91,0.28
"강남역속눈썹",186.01,1.33
"강남남자눈썹문신",201.2,2.95
"강남이자카야",107.12,2.01
"강남메이드무료입장",884.78,0.12
"강남구청",54.22,0.49
"강남왁싱",162.92,0.42
"강남데이트코스",291.47,1.61
"강남역회식장소",60.88,1.08
"강남한복",2825.34,2.45
"강남반영구화장",210.42,0.44
"강남pt",361.09,0.74
"강남뷰러펌",192.13,4.77
"강남피부과",597.79,1.51
"강남회식",779.56,1.7
"강남플라워레슨",104.14,0.89
"강남역클럽",70.82,0.65
"강남역네일샵",587.46,0.65
"강남구청역맛집",314.01,1.12
"강남메이드테이블예약",548.19,0.18
"강남클럽",58.64,0.01
"강남구",65.79,0.26
"강남눈썹",157.19,0.32
"강남구청역",361.01,0.44
"강남역술집",23.66,0.31
"강남역눈썹문신",442.36,2.05
"강남메이드",82.74,0.01
"강남프로필사진",1359.63,1.13
"강남클럽메이드",99.83,0.09
"강남곱창",1159.87,1.17
"강남마카롱",489.92,1.52
"강남남자눈썹",577.3,1.75
"강남구청맛집",481.51,0.61
"강변역맛집",239.05,2.65
"강변역",3216.53,0.42
"강변역초밥",1807.99,0.85
"건대입구",73.87,0.76
"건대입구맛집",441.54,1.7
"건대입구역맛집",528.6,2.82
"건대입구역",306.13,0.58
"건대입구술집",126.86,3.3
"건대입구카페",3443.98,1.24
"롯데시네마건대입구",2050.97,0.42
"건대입구네일",3103.08,0.72
"건대입구데이트",230.64,0.79
"건대입구핫플",100.93,1.54
"건대입구왁싱",2585.7,0.85
"건대입구원룸",4270.66,0.18
"건대입구삼겹살",5566.11,0.76
"건대입구양꼬치",4030.99,0.24
"건대입구피자",14218.96,0.29
"교대",113.31,0.4
"교대역맛집",112.28,2.22
"교대속눈썹",589.89,2.81
"교대맛집",283.21,0.53
"교대카페",1271.03,2.01
"교대역",618.45,0.4
"교대네일",677.22,0.58
"서울교대",2669.22,0.81
"교대꽃집",2357.97,0.72
"교대반영구",2792.87,5.67
"교대생",2544.52,1.59
"교대속눈썹연장",463.96,7.29
"교대이층집",4208.58,0.37
"교대마사지",3771.3,0.83
"교대점심",4810.13,0.54
"교대가죽공방",2656.09,0.39
"교대치과",11221.79,0.44
"교대역속눈썹",2133.94,0.64
"교대역마사지",9167.55,0.38
"교대역치과",6797.41,0.02
"교대전자담배",1017.46,0.18
"교대사무실",6333.56,0.09
"구디",247.58,0.57
"대구디저트",392.15,1.45
"대구디저트카페",470.23,1.92
"구디맛집",226.45,0.51
"구디속눈썹",2486.92,1.4
"구디카페",4174.61,0.59
"구디역",3545.98,0.3
"구디pt",5271.76,0.78
"구디술집",3458.66,0.42
"구디속눈썹연장",2039.65,0.59
"구디미용실",2777.46,0.42
"구디단",4419.23,0.15
"구디역맛집",6028.55,0.44
"구디점심",3849.78,0.32
"구디왁싱",837.35,0.5
"구디단맛집",4656.46,0.23
"구디파스타",1759.23,0.22
"구디데이트",639.4,0.24
"구디직장인",3896.86,0.22
"구디참치",6102.54,0.14
"구의",1555.4,0.53
"구의동맛집",691.78,0.91
"구의동",347.59,0.34
"구의맛집",1274.67,0.83
"구의역",2981.03,0.4
"구의동네일",1196.38,0.65
"구의역맛집",2305.16,0.56
"구의카페",1607.73,1.05
"구의동꽃집",1691.61,0.51
"구의술집",6273.6,0.44
"구의역속눈썹",4950.42,0.62
"구의공원",3102.53,0.1
"구의동배달",5201.9,0.3
"구의동맘",12402.73,0.24
"낙성대맛집",319.08,2.3
"낙성대",84.68,0.46
"낙성대네일",333.44,2.29
"낙성대꽃집",191.11,2.45
"낙성대카페",2292.47,1.18
"낙성대역",557.82,0.67
"낙성대미용실",1181.78,1.07
"낙성대속눈썹",1374.34,2.09
"낙성대공원",2523.29,0.91
"낙성대역미용실",1621.58,0.64
"낙성대동",9766.66,0.14
"낙성대태닝",2410.03,3.43
"낙성대족발",3286.54,1.97
"낙성대연극",2962.11,0.09
"당산",111.31,0.49
"당산역",1052.33,0.63
"당산맛집",511.54,0.64
"당산역맛집",847.64,1.03
"당산동",2840.89,0.31
"당산미용실",2513.28,1.54
"당산역카페",6372.29,1.16
"당산헬스",5609.5,0.16
"당산빵집",10438.94,0.38
"당산다이어트",2950.05,0.08
"당산떡집",2094.41,0.05
"당산안경",4326.14,0.1
"대림",1955.86,0.27
"성수동대림창고",741.89,2.04
"대림동",4243.53,0.37
"대림역",5417.87,0.34
"대림맛집",3508.29,0.64
"대림동맛집",3743.94,0.56
"대림역맛집",2493.68,0.98
"대림훠궈",1370.18,0.31
"대림동속눈썹",2405.39,0.11
"대림웨딩홀",8331.91,0.18
"대림맛집추천",5254.67,0.61
"동대문역사문화공원",2049.17,0.24
"동대문역사문화공원역",4967.14,0.21
"동대문역사문화공원맛집",4984.9,1.43
"동대문역사문화공원역맛집",4723,0.6
"뚝섬",12.15,0.66
"뚝섬유원지",57.48,0.62
"뚝섬카페",265.24,1.58
"뚝섬맛집",248,1.65
"뚝섬한강공원",181.27,1.56
"뚝섬역",1740.84,0.44
"뚝섬역맛집",2921.84,0.8
"뚝섬역카페",3860.99,0.81
"뚝섬유원지맛집",3855.93,1.12
"뚝섬데이트",1064.11,1.07
"한강뚝섬",2685.39,0.16
"뚝섬술집",3062.43,0.43
"뚝섬역자전거매장",2239.26,0.11
"뚝섬나들이",3023.24,0.11
"뚝섬캔들공방",4284.46,0.38
"백종원의골목식당뚝섬",6218.41,0.98
"뚝섬역8번출구",5715.4,0.1
"문래",917.71,0.66
"문래동",376.12,0.3
"문래동맛집",1242.63,0.69
"문래창작촌",663.66,0.54
"문래맛집",1057.2,0.68
"문래역",3792.82,0.57
"문래동꽃집",4634.56,0.58
"올드문래",3916.46,0.3
"문래술집",4119.91,0.79
"문래동루프탑",4706.03,0.85
"문래창작촌꽃집",1699.44,0.32
"문래동곱창",1647.21,0.06
"문래떡집",1875.63,0.12
"밀크티",33.95,0.43
"방배",128.2,0.43
"방배동",144.88,0.23
"방배동맛집",356.69,1.04
"방배동카페",942.27,1.13
"방배맛집",62.83,1.37
"방배동미용실",393.36,2.56
"방배동꽃집",2571.85,0.56
"방배미용실",1401.39,3.02
"방배꽃집",383.87,0.86
"방배카페",1063.15,1.68
"방배역",1479.95,0.24
"방배맘",3232.47,2.36
"방배역미용실",1064.47,2.11
"방배동카페골목",3473.37,0.43
"방배네일",3734.52,0.46
"방배동네일",2335.8,0.47
"방배사이길",4184.6,0.4
"방배역맛집",3301.8,0.54
"방배카페골목",2943.26,0.58
"방배동속눈썹펌",8640.75,2.47
"방배동pt",8450.44,0.98
"방배동인테리어",4145.91,1.21
"방배동꽃배달",345.02,2.09
"방배동핫플",2145.37,1.4
"준오헤어방배2호점",4567.9,0.95
"방배pt",5961.62,0.29
"방배점",8716.01,0.34
"방배동피부관리실",8841.85,0.62
"방배동술집",3133.29,0.38
"방배헬스",5227.11,0.22
"방배호빠",70.31,0.01
"방배동카페거리",5345.22,0.68
"방배동헬스",7446.73,0.21
"방배타투",3356.87,0.22
"방배동사이길",7562.94,0.16
"방배동성당",1601.86,0.42
"방배카페거리",3171.27,0.7
"새마을휘트니스방배점",8794.25,0.13
"방배동타투",2552.12,0.53
"방배동맘",1059.83,0.51
"방배술집",4588.67,0.66
"방배피티",8390.19,0.41
"방배스튜디오",4954.63,0.35
"방배역치과",3719.56,0.23
"방배동헤어샵",955.59,0.27
"방배동원룸",3056.73,5.42
"팀방배",1818.26,0.56
"방배동족발",1428.27,0.22
"방배조개창고",3193.7,0.2
"방배동보쌈",2075.37,0.26
"방배동42길",15148.03,0.1
"방배웨딩홀",2417.15,0.21
"방배동성인용품",9197.58,0.06
"방배1호점",11933.24,0.21
"방배동안경",8494.83,0.07
"방배동pc방",9418.01,0.14
"봉천동",336.08,0.6
"봉천",920.89,0.49
"봉천동맛집",403.66,1.29
"봉천동꽃집",493.54,2.31
"봉천맛집",2487.79,1.64
"봉천역맛집",2686.5,1.12
"봉천속눈썹",1058.85,1.77
"봉천역",1613.86,0.26
"봉천애견미용",105.87,2.13
"봉천동원룸",931.29,1.73
"봉천동태닝",421.75,0.44
"봉천동족발",3093.68,0.37
"봉천예술관",5108.26,0.28
"봉천동인테리어",1931.83,0.24
"봉천역속눈썹",2610.89,3.1
"봉천동야식",1424.61,0.08
"봉천동보쌈",1398.98,0.08
"봉천황소곱창",4018.79,0.2
"사당",160.32,0.28
"사당맛집",236.8,0.68
"사당역",176.77,0.44
"사당역맛집",537.05,1.07
"사당네일",83.93,1.3
"사당족발",60.21,27.48
"국회의사당",489.59,0.24
"사당카페",756.41,1.05
"사당눈썹문신",636.77,2.26
"국회의사당맛집",544.13,4.05
"사당반영구",275.82,1.44
"사당속눈썹",702.46,1.17
"사당미용실",934.76,1.1
"사당역카페",1848.05,1.02
"사당동",1307.36,0.26
"사당꽃집",1218.61,0.56
"사당술집",5442.46,1.01
"사당속눈썹펌",4826.97,2.21
"사당역미용실",1374.69,1.04
"사당댄스학원",2226.31,4.92
"국회의사당역",2320.55,0.54
"사당댄스",1402.32,10.87
"사당메이크업",652.35,2.9
"사당눈썹",195.43,7.75
"사당동맛집",4792.32,0.48
"사당역술집",1292.54,0.57
"사당동네일",2800.91,0.46
"사당동카페",4294.54,0.5
"사당맛집추천",2402.18,0.91
"사당맘",5078.06,0.51
"국회의사당역맛집",2260.07,0.61
"사당역데이트",2877.45,1.89
"사당연습실",2286.46,0.25
"사당동떡집",10663.99,0.72
"사당허벌라이프",3649.26,0.61
"사당다이어트",3704.64,1.11
"사당점핑",3466.97,0.72
"사당맥주",3319.43,1.14
"사당곱창",2520.3,0.63
"사당호빠",2234.79,0
"사당피부관리",5756.52,0.42
"사당역맛집추천",2501.68,0.53
"사당역고기집",3608.9,0.32
"사당태닝",1663.53,0.85
"사당원룸",2876.93,0.38
"사당역요가",857.62,0.37
"사당웨딩홀",5885.62,0.63
"사당허벌",9053.34,0.62
"사당마사지",2777.14,0.02
"사당역피부관리",7083.56,0.89
"사당포장",16144.47,0.67
"사당키스방",4296.62,0
"사당동성인용품",5035.82,0.03
"사당역만화카페",18990.48,0.11
"사당동웨딩홀",3181.84,0.1
"삼성역",44.03,0.42
"삼성역맛집",283.95,0.81
"삼성역카페",1201.47,1
"삼성역회식",2108.34,9.4
"삼성역술집",2426.36,2.73
"삼성역맛집추천",2560.51,1.09
"이대삼성홀",5748.53,0.27
"삼성역헬스",701.91,0.92
"삼성역포토스팟",3771.98,5.74
"상왕십리",3197.88,0.39
"상왕십리맛집",4991.69,1.35
"상왕십리미용실",1361.11,2.3
"상왕십리역",6329.42,0.39
"상왕십리역맛집",2744.23,1.43
"상왕십리스타벅스",5277.68,0.34
"서울대입구",28.59,0.56
"서울대입구역",87.98,0.79
"서울대입구맛집",132.03,0.62
"서울대입구역맛집",447.44,1.93
"서울대입구네일",1446.24,1.03
"서울대입구카페",1616.23,1.05
"서울대입구미용실",655.3,1.4
"서울대입구꽃집",511.32,1.5
"서울대입구역꽃집",564.65,2.19
"서울대입구속눈썹",483.5,0.83
"서울대입구네일샵",1984.19,0.47
"서울대입구속눈썹연장",544,1.22
"서울대입구역미용실",3741.59,0.76
"서울대입구역네일",599.6,0.45
"서울대입구헬스",8536.26,0.34
"서울대입구헬스장",8142.54,0.45
"서울대입구원룸",830.21,0.51
"서울대입구맛집추천",12517.54,0.63
"서울대입구역맛집추천",11303.52,0.51
"서울대입구피부관리실",735.21,0.32
"서울대입구쌀국수",1837.89,0.19
"서울대입구피부관리",583.24,0.19
"서울대입구치과",3935.2,0.12
"올리브영서울대입구중앙점",657.94,0.09
"서울대입구가죽공방",4050.33,1.05
"서울대입구역태닝",6450.04,1.23
"선릉",12.39,0.26
"선릉반영구",88.17,4.55
"선릉눈썹문신",106.09,6.91
"선릉역맛집",299.55,0.67
"선릉속눈썹",485,3.89
"선릉맛집",182.52,0.3
"선릉역",438.74,0.16
"선릉왁싱",509.21,1.2
"선릉카페",1473.82,1.58
"선릉술집",5442.49,1.92
"선릉역고기집",2039.53,1.26
"선릉회식",469.68,1.06
"선릉미용실",751.15,1.04
"선릉고기집",2173.92,0.98
"선릉역카페",2808.17,1.02
"선릉역술집",6763.24,1.57
"선릉역데이트",2753.34,0.55
"선릉역반영구",5195.97,1.67
"아펠가모선릉",3676.04,1.77
"선릉공원",6358.45,0.3
"선릉자연눈썹",1686.38,1.51
"선릉역매운떡볶이",3676.18,0.8
"선릉호빠",85.77,0.01
"선릉점심",4024.69,0.25
"선릉반영구화장",4252.03,3.19
"선릉눈썹",1283.2,2.86
"선릉맛집추천",4276.32,1.21
"선릉역4번출구",6464.67,0.4
"끌리메선릉점",5107.92,0.82
"선릉역왁싱",9268.91,0.61
"선릉역5번출구",4121.93,0.68
"선릉역맥주",11677.22,3.31
"선릉맘",2362.59,0.36
"선릉고깃집",1614.78,0.07
"선릉요가",2646.78,0.67
"선릉역눈썹문신",2748.58,0.85
"선릉아펠가모",2363.02,0.78
"선릉안마",2722.15,0.01
"선릉밥집",3596.33,0.14
"선릉카페추천",3193.37,0.91
"선릉역떡볶이",3901.09,0.71
"선릉과정릉",3250.6,0.26
"선릉역자연눈썹",5923.38,0.73
"선릉로",2247.68,0.33
"선릉역2번출구",2011.18,0.18
"선릉역반영구화장",1385.14,1.1
"선릉역디저트",4224.14,1.76
"선릉동",16144.8,1.14
"선릉매운떡볶이",3752.55,0.2
"선릉역파스타",4245.8,1.45
"선릉가죽공방",2630.08,3.34
"선릉떡볶이",1867.8,0.24
"선릉댄스",3361.59,0.28
"선릉바",2108.8,0.16
"선릉고기",3586.01,0.28
"선릉역전자담배",2866.09,0.21
"선릉룸싸롱",3264.78,0
"선릉백마",4079.36,0
"선릉역사무실",3247.37,0.25
"한스헤어선릉",6290.44,0.1
"선릉동맛집",14973.11,0.47
"선릉풀싸롱",4198.21,0
"선릉역남자눈썹",5230.99,0.49
"선릉혼술",1888.74,0.39
"선릉야구장",8081.22,0
"선릉식당",12197.17,0.4
"선릉건마",12427.52,0.01
"선릉오피",4940.61,0
"선릉1인샵",13861.17,0.02
"선릉매직미러",27802.16,0
"선릉풀사롱",26669.52,0
"성수동",12.59,0.64
"성수동카페",30.3,1.2
"성수동맛집",136.9,0.93
"성수카페",57.84,1.24
"성수",54.25,0.43
"성수맛집",179.06,1.09
"성수동핫플레이스",371.33,1.49
"성수동데이트",365.53,2.46
"성수역",365.31,0.58
"성수동핫플",281.34,2.37
"성수역맛집",983.71,1.57
"성수역카페",585.22,1.94
"성수동카페거리",432.57,0.93
"성수동디저트",556.96,3
"성수동수제화",352.1,0.7
"성수핫플",3121.02,3.17
"성수동술집",2686.76,0.75
"성수동카페추천",5164.21,2.22
"성수데이트",2929.16,3.08
"성수동나들이",2370.75,1.02
"성수카페거리",4847.91,0.76
"성수동옷가게",4487.66,0.95
"성수동어니언",5151.97,0.42
"성수동속눈썹",5841.83,1.32
"성수족발",4047.29,0.19
"성수핫플레이스",4549.9,0.88
"성수동브런치",9102.4,1.33
"소문난성수감자탕",6895.12,0.45
"성수동요가",2576.43,0.74
"성수동가죽공방",5065.87,0.54
"성수동전시",3294.78,0.74
"성수동스무디",3030.43,0.59
"성수동수제화거리",1398.69,0.4
"성수수제화",3705.1,1.36
"성수동갤러리",2693.06,0.86
"띵굴성수",1456.4,1.38
"성수맥주",7171.04,0.23
"성수동루프탑",7187.42,0.65
"성수동가볼만한곳",4365.43,0.71
"성수동공장",8444.18,0.85
"이마트성수점",2822.17,0.34
"성수가죽공방",3517.39,0.49
"성수맛집추천",2362.86,1.06
"성수동2가",1650.39,0.43
"성수브런치",3160.16,0.73
"성수역3번출구",6117.15,0.21
"여성수제화쇼핑몰",3411.82,0.19
"성수동간판",942.04,1.2
foodstagram,1.38,0.01
instafood,1.96,0
food,1.9,0
"도시락",12.03,0.36
"맛스타",9.51,0.21
"맛스타그램",2.62,0.01
"맛있다그램",6.63,0.14
"맛집스타그램",10.53,0.71
"연남동맛집",32.05,1.28
"홍대맛집",13.69,0.44
"맛집",5.12,0.03
"맛집추천",12.26,0.33
"이태원맛집",17.89,0.36
"역삼동맛집",34.44,2.76
"신촌맛집",25.13,0.59
"강남맛집",15.75,0.17
"샤로수길맛집",70.44,1.6
"홍대맛집추천",58.55,0.83
"강남맛집추천",512.79,0.97
"신촌맛집추천",1131.97,1.05
"이태원맛집추천",273.99,1.73
"잠실맛집추천",217.52,2.5
"연남동맛집추천",460.65,3.06
"합정맛집추천",2111.04,3.42
"강남역맛집추천",589.17,0.43
"망원동맛집추천",3669.5,2.63
"맛집탐방",34.44,0.07
"광화문맛집탐방",1844.37,1.17
"성수동맛집탐방",6621.34,0.79
"먹방",3.52,0.04
"먹방스타그램",16.37,0.2
"신촌먹방",785.31,2.3
"먹부림",25.54,0.08
"먹스타",11.12,0.14
"먹스타그램",2.43,0
"성수동놀거리",3129.66,0.66
"성수동어딘가",3201.95,0.25
"성수동트리마제",7076.56,0.57
"성수동사람들",2395.59,0.19
"성수역4번출구",1524.96,0.34
"성수동까페거리",4986.42,0.25
"성수고",2193.7,0.19
"성수스타그램",5708.88,0.13
"성수동구두거리",2681.43,0.19
"성수수제화거리",2872.31,0.34
"성수동식당",2957.97,0.31
"성수동스시",9334.98,1.34
"성수캔들공방",3220.53,0.48
"성수요가",2260.26,0.34
"성수동일식",3877.94,0.51
"성수동대관",1646.87,0.17
"성수피플",4650.74,0.21
"성수동눈썹",1310.76,0.33
"성수동음악창고",7835.58,0.51
"성수동중국집",2767.08,0.21
"성수동길",8362.7,0.22
"성수동1가",3947.34,0.05
"성수근린공원",15378.52,0.42
"성수동돈까스",4873.11,0.25
"신당",1190.14,0.53
"신당동카페",827.08,1.82
"신당동맛집",1244.19,0.5
"신당동네일",1981.87,0.69
"신당동떡볶이",4201.84,0.36
"신당맛집",1845.42,0.61
"신당역",2136.19,0.33
"신당역맛집",1738.01,0.36
"신당동",731.85,0.02
"신당눈썹문신",1271.71,1.27
"신당필라테스",1146.25,1.15
"신당타투",6311.66,1.43
"신당자연눈썹",2654.54,0.54
"신당중",7135.78,0.19
"삼척해신당공원",7199.04,0.19
"신대방",1901.89,0.62
"신대방맛집",1227.99,2.45
"신대방역",1125.97,1.07
"신대방타투",2245.72,2.26
"신대방삼거리맛집",2746.63,1.41
"신대방삼거리",3141.32,0.29
"신대방속눈썹",1091.01,1.63
"신대방삼거리역",7685.86,0.39
"신대방동",12809.08,0.25
"신대방동맛집",1384.13,0.67
"신대방헬스",6318.75,0.44
"신대방타투샵",10521.28,0.19
"신대방마사지",2472.88,0.14
"신대방피부",1144.89,0.21
"신대방원룸",5270.57,0.24
"신대방주짓수",618.09,0.37
"신대방삼거리원룸",2408.19,0.21
