tag,x,y
"강남메이드테이블예약",2627,0.18
"강남클럽",1602,0.01
"강남구",767,0.26
"강남눈썹",958,0.32
"강남구청역",476,0.44
"강남역술집",527,0.31
"강남역눈썹문신",1282,2.05
"강남메이드",2674,0.01
"강남프로필사진",2363,1.13
"강남클럽메이드",1529,0.09
"강남곱창",4089,1.17
"강남마카롱",904,1.52
"강남남자눈썹",1300,1.75
"강남구청맛집",731,0.61
"강변역맛집",238,2.65
"강변역",656,0.42
"강변역초밥",205,0.85
"건대입구",682,0.76
"건대입구맛집",3033,1.7
"건대입구역맛집",3856,2.82
"건대입구역",783,0.58
"건대입구술집",188,3.3
"건대입구카페",384,1.24
"롯데시네마건대입구",3818,0.42
"건대입구네일",236,0.72
"건대입구데이트",133,0.79
"건대입구핫플",248,1.54
"건대입구왁싱",259,0.85
"건대입구원룸",30,0.18
"건대입구삼겹살",171,0.76
"건대입구양꼬치",57,0.24
"건대입구피자",30,0.29
"교대",380,0.4
"교대역맛집",1052,2.22
"교대속눈썹",882,2.81
"교대맛집",719,0.53
"교대카페",1483,2.01
"교대역",872,0.4
"교대네일",447,0.58
"서울교대",228,0.81
"교대꽃집",511,0.72
"교대반영구",1756,5.67
"교대생",336,1.59
"교대속눈썹연장",631,7.29
"교대이층집",379,0.37
"교대마사지",550,0.83
"교대점심",640,0.54
"교대가죽공방",79,0.39
"교대치과",156,0.44
"교대역속눈썹",104,0.64
"교대역마사지",264,0.38
"교대역치과",92,0.02
"교대전자담배",40,0.18
"교대사무실",9,0.09
"구디",689,0.57
"대구디저트",498,1.45
"대구디저트카페",751,1.92
"구디맛집",585,0.51
"구디속눈썹",618,1.4
"구디카페",358,0.59
"구디역",416,0.3
"구디pt",338,0.78
"구디술집",260,0.42
"구디속눈썹연장",353,0.59
"구디미용실",384,0.42
"구디단",274,0.15
"구디역맛집",371,0.44
"구디점심",125,0.32
"구디왁싱",213,0.5
"구디단맛집",167,0.23
"구디파스타",60,0.22
"구디데이트",159,0.24
"구디직장인",231,0.22
"구디참치",39,0.14
"구의",849,0.53
"구의동맛집",666,0.91
"구의동",275,0.34
"구의맛집",1108,0.83
"구의역",480,0.4
"구의동네일",478,0.65
"구의역맛집",794,0.56
"구의카페",661,1.05
"구의동꽃집",332,0.51
"구의술집",172,0.44
"구의역속눈썹",131,0.62
"구의공원",45,0.1
"구의동배달",49,0.3
"구의동맘",19,0.24
"낙성대맛집",1310,2.3
"낙성대",218,0.46
"낙성대네일",901,2.29
"낙성대꽃집",407,2.45
"낙성대카페",557,1.18
"낙성대역",206,0.67
"낙성대미용실",458,1.07
"낙성대속눈썹",1108,2.09
"낙성대공원",362,0.91
"낙성대역미용실",128,0.64
"낙성대동",222,0.14
"낙성대태닝",159,3.43
"낙성대족발",378,1.97
"낙성대연극",16,0.09
"당산",568,0.49
"당산역",570,0.63
"당산맛집",1127,0.64
"당산역맛집",1211,1.03
"당산동",1320,0.31
"당산미용실",1273,1.54
"당산역카페",633,1.16
"당산헬스",748,0.16
"당산빵집",603,0.38
"당산다이어트",51,0.08
"당산떡집",5,0.05
"당산안경",19,0.1
"대림",587,0.27
"성수동대림창고",820,2.04
"대림동",464,0.37
"대림역",499,0.34
"대림맛집",1157,0.64
"대림동맛집",195,0.56
"대림역맛집",256,0.98
"대림훠궈",183,0.31
"대림동속눈썹",31,0.11
"대림웨딩홀",35,0.18
"대림맛집추천",83,0.61
"동대문역사문화공원",773,0.24
"동대문역사문화공원역",776,0.21
"동대문역사문화공원맛집",653,1.43
"동대문역사문화공원역맛집",1374,0.6
"뚝섬",161,0.66
"뚝섬유원지",286,0.62
"뚝섬카페",467,1.58
"뚝섬맛집",1375,1.65
"뚝섬한강공원",492,1.56
"뚝섬역",474,0.44
"뚝섬역맛집",1093,0.8
"뚝섬역카페",408,0.81
"뚝섬유원지맛집",787,1.12
"뚝섬데이트",212,1.07
"한강뚝섬",74,0.16
"뚝섬술집",61,0.43
"뚝섬역자전거매장",14,0.11
"뚝섬나들이",154,0.11
"뚝섬캔들공방",121,0.38
"백종원의골목식당뚝섬",56,0.98
"뚝섬역8번출구",40,0.1
"문래",1088,0.66
"문래동",827,0.3
"문래동맛집",535,0.69
"문래창작촌",999,0.54
"문래맛집",575,0.68
"문래역",969,0.57
"문래동꽃집",167,0.58
"올드문래",250,0.3
"문래술집",392,0.79
"문래동루프탑",43,0.85
"문래창작촌꽃집",27,0.32
"문래동곱창",259,0.06
"문래떡집",20,0.12
"밀크티",629,0.43
"방배",854,0.43
"방배동",864,0.23
"방배동맛집",1070,1.04
"방배동카페",504,1.13
"방배맛집",278,1.37
"방배동미용실",546,2.56
"방배동꽃집",486,0.56
"방배미용실",2134,3.02
"방배꽃집",373,0.86
"방배카페",1135,1.68
"방배역",289,0.24
"방배맘",444,2.36
"방배역미용실",1058,2.11
"방배동카페골목",228,0.43
"방배네일",208,0.46
"방배동네일",228,0.47
"방배사이길",236,0.4
"방배역맛집",660,0.54
"방배카페골목",376,0.58
"방배동속눈썹펌",875,2.47
"방배동pt",2053,0.98
"방배동인테리어",320,1.21
"방배동꽃배달",248,2.09
"방배동핫플",306,1.4
"준오헤어방배2호점",1303,0.95
"방배pt",166,0.29
"방배점",214,0.34
"방배동피부관리실",429,0.62
"방배동술집",178,0.38
"방배헬스",128,0.22
"방배호빠",1422,0.01
"방배동카페거리",244,0.68
"방배동헬스",854,0.21
"방배타투",198,0.22
"방배동사이길",146,0.16
"방배동성당",355,0.42
"방배카페거리",179,0.7
"새마을휘트니스방배점",126,0.13
"방배동타투",113,0.53
"방배동맘",208,0.51
"방배술집",173,0.66
"방배피티",162,0.41
"방배스튜디오",114,0.35
"방배역치과",43,0.23
"방배동헤어샵",82,0.27
"방배동원룸",748,5.42
"팀방배",56,0.56
"방배동족발",39,0.22
"방배조개창고",57,0.2
"방배동보쌈",17,0.26
"방배동42길",64,0.1
"방배웨딩홀",56,0.21
"방배동성인용품",5,0.06
"방배1호점",50,0.21
"방배동안경",12,0.07
"방배동pc방",14,0.14
"봉천동",420,0.6
"봉천",259,0.49
"봉천동맛집",315,1.29
"봉천동꽃집",451,2.31
"봉천맛집",526,1.64
"봉천역맛집",486,1.12
"봉천속눈썹",1071,1.77
"봉천역",709,0.26
"봉천애견미용",218,2.13
"봉천동원룸",217,1.73
"봉천동태닝",268,0.44
"봉천동족발",180,0.37
"봉천예술관",94,0.28
"봉천동인테리어",107,0.24
"봉천역속눈썹",1048,3.1
"봉천동야식",9,0.08
"봉천동보쌈",8,0.08
"봉천황소곱창",41,0.2
"사당",455,0.28
"사당맛집",542,0.68
"사당역",436,0.44
"사당역맛집",1500,1.07
"사당네일",602,1.3
"사당족발",222,27.48
"국회의사당",688,0.24
"사당카페",587,1.05
"사당눈썹문신",4622,2.26
"국회의사당맛집",384,4.05
"사당반영구",1505,1.44
"사당속눈썹",839,1.17
"사당미용실",884,1.1
"사당역카페",547,1.02
"사당동",398,0.26
"사당꽃집",239,0.56
"사당술집",963,1.01
"사당속눈썹펌",929,2.21
"사당역미용실",1838,1.04
"사당댄스학원",2857,4.92
"국회의사당역",225,0.54
"사당댄스",2762,10.87
"사당메이크업",348,2.9
"사당눈썹",348,7.75
"사당동맛집",1265,0.48
"사당역술집",970,0.57
"사당동네일",150,0.46
"사당동카페",606,0.5
"사당맛집추천",455,0.91
"사당맘",238,0.51
"국회의사당역맛집",683,0.61
"사당역데이트",523,1.89
"사당연습실",206,0.25
"사당동떡집",1062,0.72
"사당허벌라이프",259,0.61
"사당다이어트",219,1.11
"사당점핑",178,0.72
"사당맥주",101,1.14
"사당곱창",72,0.63
"사당호빠",317,0
"사당피부관리",208,0.42
"사당역맛집추천",547,0.53
"사당역고기집",498,0.32
"사당태닝",359,0.85
"사당원룸",30,0.38
"사당역요가",236,0.37
"사당웨딩홀",97,0.63
"사당허벌",175,0.62
"사당마사지",33,0.02
"사당역피부관리",292,0.89
"사당포장",75,0.67
"사당키스방",26,0
"사당동성인용품",5,0.03
"사당역만화카페",11,0.11
"사당동웨딩홀",19,0.1
"삼성역",280,0.42
"삼성역맛집",1149,0.81
"삼성역카페",911,1
"삼성역회식",2027,9.4
"삼성역술집",1297,2.73
"삼성역맛집추천",203,1.09
"이대삼성홀",597,0.27
"삼성역헬스",402,0.92
"삼성역포토스팟",211,5.74
"상왕십리",669,0.39
"상왕십리맛집",1377,1.35
"상왕십리미용실",765,2.3
"상왕십리역",423,0.39
"상왕십리역맛집",1066,1.43
"상왕십리스타벅스",24,0.34
"서울대입구",1089,0.56
"서울대입구역",242,0.79
"서울대입구맛집",686,0.62
"서울대입구역맛집",2960,1.93
"서울대입구네일",940,1.03
"서울대입구카페",1067,1.05
"서울대입구미용실",1272,1.4
"서울대입구꽃집",464,1.5
"서울대입구역꽃집",499,2.19
"서울대입구속눈썹",705,0.83
"서울대입구네일샵",323,0.47
"서울대입구속눈썹연장",707,1.22
"서울대입구역미용실",224,0.76
"서울대입구역네일",247,0.45
"서울대입구헬스",1520,0.34
"서울대입구헬스장",818,0.45
"서울대입구원룸",177,0.51
"서울대입구맛집추천",2027,0.63
"서울대입구역맛집추천",2038,0.51
"서울대입구피부관리실",45,0.32
"서울대입구쌀국수",147,0.19
"서울대입구피부관리",13,0.19
"서울대입구치과",67,0.12
"올리브영서울대입구중앙점",223,0.09
"서울대입구가죽공방",150,1.05
"서울대입구역태닝",314,1.23
"선릉",229,0.26
"선릉반영구",1036,4.55
"선릉눈썹문신",1044,6.91
"선릉역맛집",1219,0.67
"선릉속눈썹",1116,3.89
"선릉맛집",1962,0.3
"선릉역",853,0.16
"선릉왁싱",406,1.2
"선릉카페",954,1.58
"선릉술집",1750,1.92
"선릉역고기집",4098,1.26
"선릉회식",3127,1.06
"선릉미용실",625,1.04
"선릉고기집",1252,0.98
"선릉역카페",687,1.02
"선릉역술집",1678,1.57
"선릉역데이트",2185,0.55
"선릉역반영구",1709,1.67
"아펠가모선릉",314,1.77
"선릉공원",176,0.3
"선릉자연눈썹",779,1.51
"선릉역매운떡볶이",3710,0.8
"선릉호빠",1255,0.01
"선릉점심",448,0.25
"선릉반영구화장",706,3.19
"선릉눈썹",407,2.86
"선릉맛집추천",425,1.21
"선릉역4번출구",242,0.4
"끌리메선릉점",815,0.82
"선릉역왁싱",283,0.61
"선릉역5번출구",503,0.68
"선릉역맥주",3102,3.31
"선릉맘",182,0.36
"선릉고깃집",439,0.07
"선릉요가",219,0.67
"선릉역눈썹문신",925,0.85
"선릉아펠가모",234,0.78
"선릉안마",0,0.01
"선릉밥집",395,0.14
"선릉카페추천",159,0.91
"선릉역떡볶이",506,0.71
"선릉과정릉",158,0.26
"선릉역자연눈썹",437,0.73
"선릉로",185,0.33
"선릉역2번출구",41,0.18
"선릉역반영구화장",38,1.1
"선릉역디저트",106,1.76
"선릉동",25,1.14
"선릉매운떡볶이",374,0.2
"선릉역파스타",153,1.45
"선릉가죽공방",179,3.34
"선릉떡볶이",111,0.24
"선릉댄스",72,0.28
"선릉바",762,0.16
"선릉고기",98,0.28
"선릉역전자담배",32,0.21
"선릉룸싸롱",3,0
"선릉백마",1,0
"선릉역사무실",58,0.25
"한스헤어선릉",43,0.1
"선릉동맛집",96,0.47
"선릉풀싸롱",1,0
"선릉역남자눈썹",52,0.49
"선릉혼술",17,0.39
"선릉야구장",7,0
"선릉식당",101,0.4
"선릉건마",7,0.01
"선릉오피",146,0
"선릉1인샵",15,0.02
"선릉매직미러",4,0
"선릉풀사롱",27,0
"성수동",1069,0.64
"성수동카페",591,1.2
"성수동맛집",900,0.93
"성수카페",723,1.24
"성수",921,0.43
"성수맛집",1062,1.09
"성수동핫플레이스",1064,1.49
"성수동데이트",697,2.46
"성수역",785,0.58
"성수동핫플",496,2.37
"성수역맛집",1228,1.57
"성수역카페",672,1.94
"성수동카페거리",612,0.93
"성수동디저트",659,3
"성수동수제화",299,0.7
"성수핫플",884,3.17
"성수동술집",816,0.75
"성수동카페추천",1194,2.22
"성수데이트",583,3.08
"성수동나들이",372,1.02
"성수카페거리",316,0.76
"성수동옷가게",164,0.95
"성수동어니언",453,0.42
"성수동속눈썹",799,1.32
"성수족발",664,0.19
"성수핫플레이스",191,0.88
"성수동브런치",632,1.33
"소문난성수감자탕",579,0.45
"성수동요가",154,0.74
"성수동가죽공방",208,0.54
"성수동전시",172,0.74
"성수동스무디",104,0.59
"성수동수제화거리",210,0.4
"성수수제화",664,1.36
"성수동갤러리",170,0.86
"띵굴성수",106,1.38
"성수맥주",489,0.23
"성수동루프탑",205,0.65
"성수동가볼만한곳",552,0.71
"성수동공장",281,0.85
"이마트성수점",912,0.34
"성수가죽공방",100,0.49
"성수맛집추천",114,1.06
"성수동2가",169,0.43
"성수브런치",93,0.73
"성수역3번출구",337,0.21
"여성수제화쇼핑몰",70,0.19
"성수동간판",440,1.2
foodstagram,215,0.01
instafood,243,0
food,390,0
"도시락",930,0.36
"맛스타",786,0.21
"맛스타그램",408,0.01
"맛있다그램",496,0.14
"맛집스타그램",1432,0.71
"연남동맛집",1374,1.28
"홍대맛집",1146,0.44
"맛집",589,0.03
"맛집추천",1271,0.33
"이태원맛집",959,0.36
"역삼동맛집",2040,2.76
"신촌맛집",925,0.59
"강남맛집",1911,0.17
"샤로수길맛집",1639,1.6
"홍대맛집추천",1425,0.83
"강남맛집추천",1979,0.97
"신촌맛집추천",3261,1.05
"이태원맛집추천",669,1.73
"잠실맛집추천",789,2.5
"연남동맛집추천",1343,3.06
"합정맛집추천",2363,3.42
"강남역맛집추천",780,0.43
"망원동맛집추천",790,2.63
"맛집탐방",497,0.07
"광화문맛집탐방",222,1.17
"성수동맛집탐방",161,0.79
"먹방",375,0.04
"먹방스타그램",999,0.2
"신촌먹방",1319,2.3
"먹부림",749,0.08
"먹스타",353,0.14
"먹스타그램",527,0
"성수동놀거리",179,0.66
"성수동어딘가",138,0.25
"성수동트리마제",94,0.57
"성수동사람들",12,0.19
"성수역4번출구",79,0.34
"성수동까페거리",134,0.25
"성수고",63,0.19
"성수스타그램",48,0.13
"성수동구두거리",57,0.19
"성수수제화거리",268,0.34
"성수동식당",43,0.31
"성수동스시",116,1.34
"성수캔들공방",157,0.48
"성수요가",74,0.34
"성수동일식",54,0.51
"성수동대관",46,0.17
"성수피플",59,0.21
"성수동눈썹",88,0.33
"성수동음악창고",45,0.51
"성수동중국집",70,0.21
"성수동길",46,0.22
"성수동1가",55,0.05
"성수근린공원",75,0.42
"성수동돈까스",47,0.25
"신당",603,0.53
"신당동카페",619,1.82
"신당동맛집",2740,0.5
"신당동네일",237,0.69
"신당동떡볶이",649,0.36
"신당맛집",904,0.61
"신당역",648,0.33
"신당역맛집",1419,0.36
"신당동",1386,0.02
"신당눈썹문신",522,1.27
"신당필라테스",458,1.15
"신당타투",180,1.43
"신당자연눈썹",101,0.54
"신당중",45,0.19
"삼척해신당공원",61,0.19
"신대방",329,0.62
"신대방맛집",405,2.45
"신대방역",259,1.07
"신대방타투",2331,2.26
"신대방삼거리맛집",1103,1.41
"신대방삼거리",565,0.29
"신대방속눈썹",898,1.63
"신대방삼거리역",1141,0.39
"신대방동",1294,0.25
"신대방동맛집",135,0.67
"신대방헬스",156,0.44
"신대방타투샵",1191,0.19
"신대방마사지",71,0.14
"신대방피부",5,0.21
"신대방원룸",23,0.24
"신대방주짓수",53,0.37
"신대방삼거리원룸",11,0.21
"신도림눈썹문신",1312,0.93
"신도림",467,0.18
"신도림네일",360,1.3
"신도림반영구",1024,0.54
"신도림맛집",2149,0.35
"신도림속눈썹",871,1.66
"신도림카페",1083,1.34
"신도림네일샵",478,1.62
"신도림젤네일",628,2.36
"신도림타투",1263,4
"신도림역",692,0.24
"신도림미용실",815,1
"신도림디큐브시티",1733,0.23
"신도림맘",679,0.55
"신도림애견미용",181,0.58
"신도림자연눈썹",2118,0.99
"신도림맛집추천",526,0.79
"신도림휴대폰",42,1.23
"신도림동",160,0.11
"신도림디큐브시티맛집",975,0.2
"신도림네일아트",580,0.32
"신도림피부과",105,0.29
"신도림애슐리",555,1.03
"신도림가구",51,0.37
"신도림보톡스",358,0.31
"신도림필러",23,0.34
"신도림누벨바그",37,0.15
"신도림남자눈썹",85,0.22
"신도림예식장",175,0.35
"신도림머리잘하는미용실",42,0.47
"신도림댄스",70,0.49
"신도림살롱드프롬",36,0.25
"신림",646,0.24
"신림타투",1201,3.7
"신림맛집",761,0.46
"신림눈썹문신",1910,0.89
"신림네일",914,0.7
"신림미용실",1371,1.34
"신림역",275,0.36
"신림동",400,0.35
"신림술집",1093,0.92
"신림반영구",1594,0.63
"신림네일샵",705,1.02
"신림동맛집",1911,1.14
"신림젤네일",684,1.04
"신림역맛집",622,0.61
"신림카페",230,0.63
"신림꽃집",450,0.84
"신림속눈썹연장",1938,1.14
"신림네일아트",318,1.36
"신림동꽃집",580,1.35
"신림동네일",224,0.8
"신림애견미용",393,0.95
"신림역미용실",715,1.1
"신림태닝",562,6.05
"신림미용실추천",711,2.99
"신림왁싱",973,0.57
"신림동카페",342,0.95
"신림회식장소",1388,3.43
"신림백순대",707,0.82
"신림사거리",2102,0.46
"신림순대타운",517,0.44
"신림동족발",607,3.38
"신림데이트",1635,0.55
"신림동원룸",768,0.84
"신림동미용실",170,1.04
"신림호빠",1870,0.01
"신림동속눈썹",941,1.47
"신림역속눈썹",1302,0.88
"신림타투샵",1735,1.29
"신림치킨",159,1.86
"신림점",663,0.6
"신림속눈썹연장잘하는곳",585,0.82
"신림부동산",389,1.5
"신림이자카야",253,1.28
"신림원룸",390,0.69
"신림역속눈썹연장",676,0.9
"신림맛집추천",1572,0.68
"신림집",1039,1.37
"신림피부관리",401,0.71
"리안헤어신림점",192,0.98
"신림곱창",1360,0.4
"신림동순대타운",2334,0.37
"신림9동",259,0.27
"신림애견호텔",80,0.31
"신림애견유치원",79,0.34
"신림맘",990,0.34
"신림순대",100,0.76
"신림피부",21,0.86
"신림순대촌",136,0.34
"신림포도몰",15,0.3
"신림역맛집추천",178,0.65
"신림웨딩홀",106,0.52
"신림롯데시네마",225,0.35
"신림빵집",122,0.55
"신림그랑프리",1047,0.02
"신림네일추천",597,0.41
"신림놀거리",54,0.51
"신림그랑프리나이트",1239,0.02
"신림동공방",8,0.43
"신림역피부관리",125,0.41
"신림웨딩네일",326,0.28
"신림속눈썹",2013,0.01
"신림문화의거리",49,0.35
"신림마사지",197,0.01
"신림양꼬치",66,0.24
"신림에서",37,0.25
"신림동순대",1109,0.4
"신림피부샵",126,0.19
"신림롯데백화점",115,0.2
"신림동또순이원조순대",35,0.19
"신림역네일",536,0.01
"신림노래빠",25,0.03
"신림동미용실추천",18,0.24
"신림제모",2,0.14
"신림댄스",44,0.36
"신림전세",72,0.1
"신림그랑프리웨이터",448,0.01
"신림동꽃배달",4,0.13
"신림그랑프리룸주대",245,0.01
"신림그랑프리슈퍼맨",33,0.09
"신림동인테리어",20,0.12
"신촌",237,0.1
"신촌네일",1061,2.48
"신촌타투",1398,1.85
"신촌미용실",1266,4.05
"신촌카페",1077,0.98
"신촌눈썹문신",2780,1.28
"신촌데이트",1119,0.93
"신촌속눈썹",1046,1.04
"신촌술집",1534,1.27
"신촌반영구",1251,1.09
"신촌역",577,0.33
"신촌역맛집",1588,0.4
"신촌꽃집",362,0.71
"신촌데이트코스",2066,2.63
"신촌속눈썹연장",1075,0.7
"신촌놀거리",1252,3.62
"신촌맥주",1597,1.6
"현대백화점신촌점",1036,0.87
"신촌현대백화점",1021,0.29
"신촌호빠",1439,0.01
"신촌동",291,0.22
"신촌가라오케",1181,0.59
"신촌유플렉스",497,0.77
"신촌연예인맛집",173,2.24
"신촌곱창",726,0.53
"신촌레스토랑",2378,1.83
"신촌자연눈썹",2142,0.21
"신촌점",1690,0.22
"신촌피부관리",418,0.32
"신촌돈부리모노",461,1.14
"신촌칵테일",208,0.46
"신촌맘",875,0.69
"신촌댄스학원",372,0.41
"신촌피부과",1257,0.19
"신촌플라잉요가",63,1.33
"신촌곱창맛집",627,1.03
"신촌게스트하우스",686,0.68
"신촌역미용실",427,0.82
"신촌미용실추천",933,0.57
"신촌설렁탕",493,0.23
"신촌을못가",199,0.17
"신촌꽃배달",54,0.57
"신촌디저트카페",229,0.83
"신촌로터리",1552,0.14
"신촌성결교회",107,0.4
"신촌타로",586,1.77
"신촌현백",318,0.2
"신촌떡볶이",925,0.3
"신촌방탈출",120,0.09
"제주신촌",244,0.42
"신촌현대백화점유플렉스",7775,1.32
"신촌중국집",348,0.69
"신촌이대거리",281,0.21
"신촌이자카야",668,0.35
"신촌현대",475,0.16
"신촌영어학원",36,0.09
"신촌국제꽃시장",507,0.11
"신촌사주",498,1.25
"신촌미용학원",296,0.59
"신촌동맛집",577,0.17
"신촌피부",105,1.36
"신촌중화가정",45,0.8
"신촌헤어샵",204,0.43
"신촌리맛집",126,0.63
"신촌헤어",98,0.24
"신촌영어",172,0.19
"신촌횟집",140,0.29
"신촌물총축제",406,0.01
"신촌세브란스어린이병원",86,0.25
"신촌댄스",63,0.26
"신촌락사",29,0.12
"신촌출장안마",8,0
"신촌인테리어",60,0.28
"신촌머리잘하는미용실",105,0.46
"신촌귀걸이",23,0.27
"신촌맥주축제",517,0.01
"현백신촌맛집",16,0.24
"신촌앨리스",52,0.21
"대포찜닭신촌점",205,0.38
"신촌웨딩홀",125,0.3
"신촌거리축제",62,0.12
"신촌찜질방",302,0.36
"신촌닭갈비",105,0.11
